,year,month,intent,police,sex,age,race,place,education
0,2012,1,Suicide,0,M,34.0,Asian/Pacific Islander,Home,BA+
1,2012,1,Suicide,0,F,21.0,White,Street,Some college
2,2012,1,Suicide,0,M,60.0,White,Other specified,BA+
3,2012,2,Suicide,0,M,64.0,White,Home,BA+
4,2012,2,Suicide,0,M,31.0,White,Other specified,HS/GED
5,2012,2,Suicide,0,M,17.0,Native American/Native Alaskan,Home,Less than HS
6,2012,2,Undetermined,0,M,48.0,White,Home,HS/GED
7,2012,3,Suicide,0,M,41.0,Native American/Native Alaskan,Home,HS/GED
8,2012,2,Accidental,0,M,50.0,White,Other specified,Some college
10,2012,2,Suicide,0,M,30.0,White,Home,Some college
11,2012,1,Suicide,0,M,21.0,Native American/Native Alaskan,Home,HS/GED
12,2012,3,Suicide,0,M,43.0,White,Home,Less than HS
13,2012,3,Suicide,0,M,34.0,Native American/Native Alaskan,Home,HS/GED
15,2012,3,Suicide,0,M,27.0,Native American/Native Alaskan,Home,HS/GED
16,2012,3,Suicide,0,M,55.0,White,Home,BA+
17,2012,3,Suicide,0,M,53.0,Native American/Native Alaskan,Home,HS/GED
19,2012,4,Suicide,0,M,51.0,White,Home,HS/GED
20,2012,4,Suicide,0,M,65.0,Native American/Native Alaskan,Home,HS/GED
21,2012,4,Suicide,0,F,52.0,White,Home,HS/GED
23,2012,4,Suicide,0,M,19.0,White,Home,Some college
26,2012,4,Suicide,0,M,22.0,Native American/Native Alaskan,Other specified,HS/GED
27,2012,4,Suicide,0,M,21.0,White,Other specified,HS/GED
28,2012,4,Suicide,0,M,56.0,White,Home,HS/GED
30,2012,4,Suicide,0,M,38.0,Native American/Native Alaskan,Home,HS/GED
31,2012,4,Suicide,0,M,55.0,White,Home,BA+
33,2012,5,Suicide,0,M,27.0,White,Home,HS/GED
35,2012,4,Undetermined,0,M,26.0,White,Home,HS/GED
36,2012,5,Suicide,0,M,23.0,Native American/Native Alaskan,Home,Less than HS
38,2012,5,Suicide,0,M,43.0,White,Home,Some college
39,2012,5,Suicide,0,M,53.0,White,Home,Some college
40,2012,5,Suicide,0,M,31.0,Native American/Native Alaskan,Home,HS/GED
42,2012,6,Suicide,0,M,87.0,White,Home,Less than HS
43,2012,6,Suicide,0,M,38.0,Native American/Native Alaskan,Home,HS/GED
44,2012,6,Suicide,0,M,17.0,Native American/Native Alaskan,Home,Less than HS
45,2012,6,Suicide,0,M,28.0,White,Home,Some college
46,2012,6,Suicide,0,M,39.0,White,Home,BA+
50,2012,7,Suicide,0,M,59.0,White,Home,HS/GED
51,2012,7,Suicide,0,M,26.0,White,Home,Some college
52,2012,6,Suicide,0,M,50.0,Native American/Native Alaskan,Street,Less than HS
